is_visible_in_front;is_visible_in_front_listing;is_global;is_user_defined;is_required;is_visible_in_advanced_search;is_searchable;is_filterable;is_comparable;is_html_allowed_on_front;is_unique;is_filterable_in_search;is_used_for_sort_by;is_configurable;is_requiring_unit;is_recordable_in_cart_meta;is_used_in_admin_listing_column;is_used_in_quick_add_form;is_used_for_variation;is_used_in_variation;_display_informations_about_value;_need_verification;_unit_group_id;_default_unit;is_historisable;is_intrinsic;data_type_to_use;use_ajax_for_filling_field;data_type;backend_table;backend_label;backend_input;frontend_label;frontend_input;frontend_verification;code;note;default_value;frontend_css_class;backend_css_class;frontend_help_message;available_values
no;yes;no;no;yes;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;NULL;NULL;yes;no;custom;no;varchar;NULL;User name;text;User name;text;NULL;user_login;;;user_login;;NULL;
no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;NULL;NULL;yes;no;custom;no;varchar;NULL;Password;password;Password;password;NULL;user_pass;;;user_pass;NULL;NULL;
no;yes;no;no;yes;no;no;no;no;no;yes;no;no;no;no;no;no;yes;no;no;no;yes;NULL;NULL;yes;no;custom;no;varchar;NULL;Email;text;Email;text;email;user_email;;;user_email;;NULL;
no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;NULL;NULL;yes;no;custom;no;varchar;NULL;Last name;text;Last name;text;NULL;last_name;;;last_name;NULL;NULL;
no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;NULL;NULL;yes;no;custom;no;varchar;NULL;First name;text;First name;text;NULL;first_name;;;first_name;NULL;NULL;
no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;NULL;NULL;yes;no;custom;no;varchar;NULL;Company;text;Company;text;NULL;company_customer;;;company_customer;NULL;NULL;
no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;NULL;NULL;yes;no;custom;no;integer;NULL;Provider;select;Provider;select;NULL;is_provider;;no;is_provider;NULL;NULL;No!:!:!no,Yes!:!:!yes
